,date,contents,city,city_in_disaster
3,2019-03-15T23:36:27.000Z,just gonna give a quick shout out to the man outside of the ross dressing room hyping up his wife then telling the attendant she doesn’t ask for much but deserves the world,nashville,0
4,2019-03-15T16:41:37.000Z,"Had great morning watching practice on West End!! #AnchorDown 
@CoachDerekMason
 @CoachJTarver",nashville,0
5,2019-03-14T22:12:46.000Z,the lady 2 inches from me talking about how she doesn’t drink margs bc they are too fattening is really killing my vibe as i sit here & drink mine,nashville,0
6,2019-03-15T14:27:23.000Z,O baby I'll come when you call,nashville,0
7,2019-03-15T13:32:24.000Z,"Hey Twitter family, Zion slept, got up, brushed his teeth and ate breakfast...more news to come on this wonderful creature! #BBN",nashville,0
8,2019-03-15T03:10:03.000Z,"If this is the Lamar Peters that Mississippi State gets from here on out, it would be wise to put a viewer discretion advised warning on Bulldogs games.",nashville,0
9,2019-03-14T16:16:46.000Z,"School accuses coach of cheating:

Coach responds: “I know you are but what am I?!”",nashville,0
10,2019-03-14T21:34:05.000Z,PETITION FOR A WAFFLE HOUSE TO COME TO KZOO,nashville,0
11,2019-03-14T22:19:23.000Z,"Never envied anybody’s  accomplishments, I just try to do better.",nashville,0
12,2019-03-15T05:49:17.000Z,"don’t tell me “I gotchu”, but don’t really got me",nashville,0
13,2019-03-15T23:44:27.000Z,"Happy Friday! 
 What are your weekend plans?",nashville,0
14,2019-03-15T21:29:16.000Z,"Harper to Okeke

Slam

73-61

Auburn's going to the semifinals",nashville,0
15,2019-03-15T23:23:31.000Z,Kentucky fans love wearing some basketball shorts to games.,nashville,0
16,2019-03-15T02:50:54.000Z,Hey I’m about 2 Tito’s and one more Dj playing that “meet me in the middle” song away from convincing myself #OurCoach Avery is going to RUN Kentucky tomorrow,nashville,0
17,2019-03-14T22:57:01.000Z,Corduroy the horniest material don't @ me I will not be taking questions.,nashville,0
36,2019-03-15T19:23:14.000Z,"After hearing the full details of the #Titans trade for QB 
@ryantannehill1
.

Tennessee won the trade, hands down.",nashville,0
37,2019-03-15T15:03:22.000Z,"#Titans announce the release of RG Josh Kline. His dead cap money for 2019 is $3.5M (per 
@spotrac
). 

Kline resigned with the Titans last offseason for a deal that averaged $7M per season.",nashville,0
68,2019-03-14T03:17:40.000Z,"The team dinner at 
@JeffRubys
 tonight in Nashville was amazing. And the dessert, WOW!!!",nashville,0
69,2019-03-15T21:32:44.000Z,"Rajon Rondo, Julius Randle, Jamal Mashburn, Michael Kidd-Gilchrist, Jamal Murray, Pat Riley, Alex Poythress, Gimel Martinez, John Wall, Anthony Davis, Jodie Meeks, Malik Monk, DeMarcus Cousins, Tony Delk, De'Aaron Fox, Tayshaun Prince & Patrick Sparks AIN'T WALKIN THRU THAT DOOR!",nashville,0
70,2019-03-15T21:58:35.000Z,“South Carolina is so fortunate to have him. If he had a couple more healthy bodies he’d still have my number.” - Auburn head coach Bruce Pearl on South Carolina head coach Frank Martin,nashville,0
71,2019-03-15T16:21:36.000Z,I’m starting to finally get “dislikes” on my YouTube page... I must be getting popular ,nashville,0
72,2019-03-15T15:49:11.000Z,Highlight of the tournament so far: #LSU assistant coach Greg Heiar singing Blackstreet’s “No Diggity” when the team ran out of the tunnel.,nashville,0
73,2019-03-15T22:53:44.000Z,"If Tyreke Hill broke his 3-year old’s arm, somebody ought to break both of his. Legs too.",nashville,0
74,2019-03-15T14:10:26.000Z,"Unspeakable violence & hate anywhere in the world is a threat to everyone in the world. We must stand together against hate by loving & respecting our neighbors, and by working to ensure the safety of families & promote peace in every city.  #ChristchurchMosqueShooting",nashville,0
75,2019-03-14T01:17:15.000Z,"Man, y’all remember the days when we didn’t have Facebook and we spent our time on Napster looking for songs? Those of us that had CD burners (look it up kids) also made some extra scratch. #facebookdown",nashville,0
76,2019-03-15T04:39:02.000Z,"Try this again...

Nashville has gotten better as the game has progressed, and that's something they SHOULD be doing against a team like the Kings. Good to see them doing something that's expected. 

Now get that Frosty, because I wants the ice cream.",nashville,0
95,2019-03-15T04:54:06.000Z,"Rinne with the video game ""eff it, let's keep playing"" dispersal of the puck out of his glove.",nashville,0
96,2019-03-15T03:40:47.000Z,fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism. fuck white supremacism.,nashville,0
97,2019-03-15T03:38:57.000Z,"Ben Howland on facing UT: ""They're a great team. They have a great chance to win the national championship. They've been phenomenal. We're excited to play them.""",nashville,0
115,2019-03-15T15:23:17.000Z,Every morning you have Two Choices: Continue to sleep with your Dreams or Wake up and Chase Em!,nashville,0
116,2019-03-14T04:51:24.000Z,so many of my peers out here eating. proud of y’all niggas .. y’all inspire me everyday,nashville,0
117,2019-03-15T20:51:44.000Z,"Robinson: I’m still getting texts from agents of players who aren’t signed

Says they don’t have anything in the cooker right now #Titans",nashville,0
118,2019-03-15T21:08:17.000Z,Jared Harper is doing it all for Auburn this half. He wants to will the Tigers to the semis.,nashville,0
136,2019-03-14T21:51:36.000Z,"Bruce Pearl just now: “Frank Martin’s got my number. Not just my phone number, but my number.”",nashville,0
137,2019-03-15T19:05:05.000Z,Feels good to play more than 1 game in Nashville and not be investigated by the FBI. Not everyone can say that.,nashville,0
138,2019-03-15T19:09:13.000Z,"You can’t spell Nashville Tennessee without Tannehill. 

Destiny.",nashville,0
139,2019-03-15T16:45:46.000Z,"Happy Birthday to my other daughter 
@GarenHaney
 I hope your day is the best!! Love you!!",nashville,0
191,2019-03-15T01:42:45.000Z,"Thank you 
@AlabamaMBB
 for my birthday gift!!! I love a good birthday win!!!",nashville,0
192,2019-03-15T21:45:25.000Z,"Walking into the locker room and Malik Dunbar is singing Happy birthday to Avery Spencer, Horace Spencer's son.",nashville,0
193,2019-03-15T20:34:29.000Z,Nothing Even Matters \\ Lauryn Hill just hits different ,nashville,0
194,2019-03-14T02:27:48.000Z,"Although I think he seems to be a genuinely good human being who deserves our respect, I cannot see a successful path forward for Bryce Drew at Vanderbilt. This program needs a fresh start. Painful to say.",nashville,0
195,2019-03-15T04:14:13.000Z,"You know if you spell Kyle Turris backwards it reads “preds will score quite nicely without him, apparently”. #PREDS
 #NSHvsLAK",nashville,0
196,2019-03-14T20:28:22.000Z,"Schedule Update
Friday at Riverdale vs. Science Hill at 4:30 PM

Saturday at Smyrna vs. Dobyns Bennett at 12:30 PM & vs. Smyrna at 3:00 PM",nashville,0
197,2019-03-15T22:36:13.000Z,"Half my friends are getting engaged, buying farms, having kids, and then the other half is still whoring it out every weekend",nashville,0
198,2019-03-15T15:06:37.000Z,"JUST IN: 

LSU has cleared freshman Javonte Smart for today’s game against the University of Florida in the SEC Men’s Basketball Tournament. Smart has fully cooperated and participated in a joint inquiry with LSU and the NCAA 

#LSU #SECTourney",nashville,0
199,2019-03-15T19:03:33.000Z,"The entire 2019 quarterback room for the Tennessee Titans will have to prove they are not injury prone this year (Mariota & Tannehill). Makes this season even more of a ‘make or break’ for that position. Jon Robinson has set the team up to figure it out or reset in 2020, smart.",nashville,0
200,2019-03-15T18:13:02.000Z,"I never feel cool enough to be inside Pinewood Social. I get the distinct feeling that at any moment, they’re going to ask me to name my favorite band, artisanal spice or what a single origin askinosie sauce is and then kick me out.",nashville,0
201,2019-03-15T15:46:21.000Z,wait til i drop this tape ,nashville,0
202,2019-03-15T21:36:53.000Z,"Unless your Miranda.... don’t fucking ask some one else to ask me if you can come my house to my boyfriends party, especially if you’re one of his trifling exes. This ain’t memory lane hoe.",nashville,0
203,2019-03-14T02:31:54.000Z,"instagram has been down all day but i do promise that right now i am in nashville, tn",nashville,0
204,2019-03-15T23:39:41.000Z,Ward steals second for second of the game and the 50th of her career. She becomes only the second Lipscomb player to steal 50 bases in the NCAA error. She trails only Brittany Elmore.,nashville,0
223,2019-03-15T03:17:57.000Z,Get to Nashville. Cheer on the Dawgs tomorrow night. Because tonight was a blast watching them here.,nashville,0
224,2019-03-15T03:58:54.000Z,I’m in a bar eating pimento cheese and listening to a live honky tonk band. I’m only going to say this once: D.C. is not the real south.,nashville,0
225,2019-03-15T02:51:04.000Z,"Kevarrius Hayes (+13) and Dontay Bassett (+8) didn’t have the gawdy numbers KJ had, but they were really, really good today. Will have to be Friday too against that LSU frontline.",nashville,0
226,2019-03-14T13:48:33.000Z,"“I pray because I can't help myself. I pray because I'm helpless. I pray because the need flows out of me all the time, waking and sleeping. It doesn't change God. It changes me.” C.S. Lewis",nashville,0
244,2019-03-15T15:53:28.000Z,PSA If you say hi to my man and don’t acknowledge me first or at all I will punch you in the face thank you,nashville,0
245,2019-03-15T14:25:49.000Z,"Met an NBA scout @ the 
@SEC
 MBB Tourney. He's 82 yrs old so I asked for aome wisdom. Said when they are evaluating to draft a player they send 1 guy to hometown & 1 guy to college town. Went to E. Lansing about plyr talked to teachers. Lesson: treat ppl right.",nashville,0
290,2019-03-15T03:08:21.000Z,3OH3! Invented EDM and I'll fight anyone who says otherwise,nashville,0
291,2019-03-15T03:30:41.000Z,"Some of y’all females so fake bougie yo, a man can see right thru all dat.",nashville,0
292,2019-03-15T10:42:26.000Z,I don’t carry hate in my heart. I believe in karma...and I know God won’t give you more than you can bear.,nashville,0
293,2019-03-14T21:33:42.000Z,"Sending out prayers to everyone at home in Western Kentucky! Y’all stay safe
{Western Kentucky is in a state of emergency due to severe storms and very dangerous winds}",nashville,0
294,2019-03-14T19:07:26.000Z,"Of the #CollegeCheatingScandal my 13 year old says, ""I feel sorry for those kids, thinking they got in on their own..."" I love his compassion. Next, we're going to be talking about mothers because their black children were being schooled in the ""wrong"" district. #WhitePrivilege",nashville,0
295,2019-03-15T23:39:55.000Z,"Alabama so far: six shots made, eight shots blocked.",nashville,0
296,2019-03-15T12:30:50.000Z,"As of 7:25 a.m., a decision still has yet to be made regarding Javonte Smart. 

#LSU plays at noon.",nashville,0
297,2019-03-14T16:48:02.000Z,"Friends today & enemies tonight. Looking forward to working with 
@RebVoice
 today for UF vs Arkansas on the SEC Radio Network. (XM 190 & Sirius 138) Roll SEC!",nashville,0
298,2019-03-15T22:41:34.000Z,"Excited to announce that today my Trans-Institutional Programs (TIPs)
Vanderbilt Community Lab for the Intersectional Study of Black Women and Girls in Society funded 5/7 
Small Group Learning Communities proposals! 
@Mrs_Sara_Jones
 was an awardee! 
@vupeabody
 @VU_Provost",nashville,0
299,2019-03-14T19:00:53.000Z,"Today's track meet, Boone Co. relays have been cancelled due to weather.
@JWeberSports
 @FTISSuper
 @FTSchools
 @FTHighlandsHS
 @mcbertasso",nashville,0
300,2019-03-14T02:03:12.000Z,"All my favorite people. Are the bros here???  ... #GIRLworldtour. Please please please please. 
@MarenMorris",nashville,0
301,2019-03-14T15:38:53.000Z,Debate on the bill to override Nashville #votes in support of the community oversight board has commenced in the TN House. We’re attempting to amend the bill to remove #Nashville. Sponsor has called it “unfriendly.”,nashville,0
302,2019-03-15T04:23:13.000Z,"Again, this Geico commercial sends the complete wrong message and I hate it. Don't give up, Pete. Play hockey because it's fun. Get those skates out of the trash.",nashville,0
303,2019-03-14T04:38:44.000Z,"got to see maren morris tonight at the ryman & it was so MAGICAL 
 but the best part of the night was a woman coming up to the box office window just to tell me that i look like maren (like i don’t at all but...) brb crying",nashville,0
321,2019-03-14T16:57:24.000Z,Saffold: There’s no better feeling in the world than moving a guy against his will.,nashville,0
322,2019-03-15T18:32:51.000Z,"I was stuck in traffic slowed by one of Nashville’s infamous pedal taverns. It was then I thought,
“What would 
@BIGJOEONTHEGO
 do?” I realized I was driving a government car so I decided to let it slide.",nashville,0
323,2019-03-14T12:11:11.000Z,"My mini writing & hiking retreat starts in a few hours. I am unbelievably excited to be completely alone for 28 hours. Although, if I have service, y'all will be a click away. Lol.",nashville,0
324,2019-03-14T15:42:22.000Z,Let me tell you something: being home one day out of thirteen is great except when you’re trying to buy a house. My poor agent is losing his mind.,nashville,0
342,2019-03-15T19:32:51.000Z,I seriously sigh a sigh of relief when I text someone for the first time and that text turns blue.,nashville,0
343,2019-03-15T02:29:17.000Z,"Sometimes I just scroll through 
@PorchTN
's Instagram and I'm like, damn. ",nashville,0
0,2019-03-14T19:49:10.000Z,Hal3a  wel3aneh mn l awal... Hilarious #لهون_وبس,beirut,0
1,2019-03-15T08:25:24.000Z,"The world's media is calling a #psycho who killed 49 muslims til now in #NewZealand a #shooter
What a #shame and how pathetic
Dear #Media you are the only terrorist in this #world
The NewZealand shooter is a #terrorist!
spell it out a T E R R O R I S T
#حادث_نيوزيلندا_الارهاب",beirut,0
2,2019-03-14T20:46:03.000Z,The show is getting better & better every time... #لهون_وبس,beirut,0
3,2019-03-15T06:48:58.000Z,"How can people be so inhumane? When will stop labelling based on religion, nationality and color? #prayfornewzealand",beirut,0
4,2019-03-15T14:43:08.000Z,The fact that tomorrow there's no alarm to wake me up makes me so happy,beirut,0
5,2019-03-14T19:23:55.000Z,"Giroud is the 
Hatrick in 59 mins 
with no penalty
 

 #DYNCHE",beirut,0
6,2019-03-15T11:52:45.000Z,"The thoughts of everyone at Alreaaya are with the victims of the #ChristChurchMosqueAttack.

May Allah grant them paradise, recovery to the victims and ease for their loved ones.
#NewZealand",beirut,0
7,2019-03-14T11:13:21.000Z,Battling the #flu as of today.,beirut,0
8,2019-03-15T15:32:22.000Z,I want my phone to unlearn some emojis coz I don’t wana see them ever again,beirut,0
9,2019-03-14T11:42:18.000Z,Relationship stress can make you look for a seatbelt in the toilet,beirut,0
10,2019-03-15T08:33:05.000Z,Prayers for New Zealand #NewZealandShooting #NewZealand so sad,beirut,0
11,2019-03-15T05:12:07.000Z,Rock bottom will teach you lessons that mountain tops never will,beirut,0
12,2019-03-14T22:03:23.000Z,"""If they don’t need you, it’s okay. You do not live for other people"".
#koko",beirut,0
13,2019-03-15T22:28:52.000Z,"It’s not about religion, it’s about a relationship with God #NewZealandTerroristAttack",beirut,0
14,2019-03-14T16:21:06.000Z,"Girls being so hot and I’m 23 getting the fact that I look 18 ffs 
 except for my height though",beirut,0
15,2019-03-14T16:53:35.000Z,I can’t believe I made my brother cry because I threw the envelope where he saved 100$,beirut,0
16,2019-03-14T11:36:45.000Z,Growing up in a country with expats from different backgrounds and nationalities made me thank God I didn’t grow up stereotyping people.,beirut,0
34,2019-03-15T16:56:02.000Z,“If only we had taller been” by Ray Bradbury is one of the greatest poems i have ever heard,beirut,0
35,2019-03-15T22:24:34.000Z,At a cool club watching cool arab kids dance to 50s music and its giving me pureeeeee feeels.,beirut,0
36,2019-03-14T08:23:17.000Z,I never wannaa hear you say I WANT IT THAT WAY,beirut,0
176,2019-03-14T23:04:31.000Z,Malibu Ken is underrated,beirut,0
177,2019-03-15T04:22:41.000Z,Russ makes music for guys who slap their own ass during sex,beirut,0
178,2019-03-14T05:48:38.000Z,Fuck this non ending winter!,beirut,0
179,2019-03-14T19:42:21.000Z,My little brother is obsessed with the avengers..i think ive done a great job,beirut,0
180,2019-03-15T23:32:24.000Z,where’s my mind?,beirut,0
181,2019-03-14T05:25:01.000Z,"Dear assholes on the road,
I know it’s daytime, but it’s madly raining and even tho you can see clearly, other drivers can barely see you coming. 
So just turn on the lights and avoid an accident ",beirut,0
182,2019-03-15T23:15:27.000Z,I mean I don’t watch a lot of Mission Impossible movies but they use a masks more than Scooby Doo,beirut,0
183,2019-03-15T19:52:59.000Z,I will wait and win,beirut,0
184,2019-03-15T07:56:29.000Z,"“it takes money to make money” (inheritance); “it’s not what you know, but who you know” (social capital); “what matters is being in the right place at the right time” (luck);",beirut,0
185,2019-03-15T06:49:26.000Z,GUYS SHAKKET AWAL PERF ELE KCIEKKWODIEIW AND IT WAS GREAT GUYS SHAKKET MASEL,beirut,0
186,2019-03-15T07:34:04.000Z,""" I am very happy to see all the experts gathered in Beirut to discuss the values that we and 
@adyanfoundation
 work for: justice, freedom, mercy and human dignity"" 
@lineramsdal
 MENA Regional Manager #RSRC #ReligiousResp #المسؤولية_الاجتماعية_الدينية",beirut,0
187,2019-03-15T14:45:27.000Z,When is the industry finally moving to secure DNS? I mean all traffic is encrypted but we know where you are going ok?,beirut,0
188,2019-03-15T15:43:58.000Z,Beirut: 5:45pm: sunset,beirut,0
189,2019-03-15T11:14:08.000Z,Liverpool v porto,beirut,0
190,2019-03-15T11:15:04.000Z,Tottenham v city,beirut,0
191,2019-03-15T16:13:07.000Z,We are all one facing terrorism... one more prove that #terrorism has no religion. #NewZealand,beirut,0
192,2019-03-15T12:50:33.000Z,Dark days like these never fail to leave me in awe at how ugly this world can be sometines,beirut,0
193,2019-03-15T17:32:07.000Z,I need to follow 1 person to have 90/90 following/followers. Either someone unfollow me or point me in the direction of something worthy of a follow.,beirut,0
215,2019-03-15T09:19:26.000Z,"Reflecting. Generous people are usually courages, but not the continuous over spenders.",beirut,0
216,2019-03-15T06:52:57.000Z,Take everything for what it is n never try to change it,beirut,0
0,2019-03-15T07:50:42.000Z,You ever see a girl and be like that’s why I’m afraid to have a daughter,atlanta,0
1,2019-03-15T12:26:51.000Z,Hope is a counterforce to hate. Education is rooted in hope - Dr. Pedro Noguera at #tesol19 #myTESOL19,atlanta,0
2,2019-03-15T18:35:05.000Z,"Coteaching without coplanning is an oxymoron. 
@AndreaHonigsfel
 #TESOL19",atlanta,0
3,2019-03-15T12:38:55.000Z,Immigrant kids already have “grit”. What they need is agency.  -Dr.Pedro Noguera #tesol19 #mytesol19,atlanta,0
4,2019-03-15T04:36:04.000Z,Never take for granted someone that genuinely looks at you and listens when you speak. One of the sweetest ways to show affection ♡,atlanta,0
5,2019-03-15T12:18:49.000Z,"Europa League Quarterfinals:

Chelsea V Salvia Prague

Good draw! 

#EuropaLeagueDraw",atlanta,0
6,2019-03-15T12:21:03.000Z,"A black church, a synagogue, a mosque. How many more times do we have to say your ideologies of hatred that print across platforms have the ability to radicalize. What will it take to stop to this terrorism?!  Standing in solidarity with the Muslim community.",atlanta,0
7,2019-03-15T19:24:21.000Z,Well I’m out my guys. Thanks for the support. Was close to sending Du to losers but lost 2-1.,atlanta,0
8,2019-03-15T12:52:00.000Z,This is a real question does anyone in Miami actually get in the water?,atlanta,0
9,2019-03-15T22:01:28.000Z,"(Gets 3 likes on a tweet)
Me: Is this what Twitter famous looks like?",atlanta,0
10,2019-03-15T23:01:08.000Z,I wanna play some tekken real talk.,atlanta,0
11,2019-03-15T12:49:15.000Z,Dropping new sounds....soon as I get off work.lmao,atlanta,0
12,2019-03-15T18:06:18.000Z,"I’d never miss an opportunity to hear 
@AndreaHonigsfel
 speak about #coteaching but today I have the pleasure to meet someone new 
@audrey_cohan
 #TESOL19",atlanta,0
13,2019-03-15T12:41:17.000Z,"This morning let us all keep in our hearts and prayers the victims, families and communities affected by the massacre at the two #Mosques in 
@newzealand
. Only #love will conquer evil. 
@Morehouse
 #TheBelovedCommunity",atlanta,0
14,2019-03-15T21:53:00.000Z,"While submitting an abstract today I had to answer, “are you a young scientist, under the age of 35?” 
 I’m still young!! Barely... ",atlanta,0
15,2019-03-15T21:50:32.000Z,"Florida record against LSU since 2016:

Football: 2-1
Basketball: 8-5
Basketball: 4-1
Softball: 6-1

Yeah, Florida owns LSU.

#GoGators #GeauxHOMElsu",atlanta,0
32,2019-03-15T17:43:05.000Z,You should never doubt a person or their dreams. Who are you to judge? You just never know. Success may be just around the corner for them,atlanta,0
33,2019-03-15T16:22:24.000Z,It’s true what they say about your name being spoken of in rooms your feet have not even entered yet. Keep pressing. Keep praying.,atlanta,0
34,2019-03-15T18:26:05.000Z,"Coplanning isn’t always structured. Just watched 
@AndreaHonigsfel
 and 
@audrey_cohan
 coplan in the middle of their presentation. Makes me feel better about my coplanning that happens in the middle of lessons sometimes. Thanks for being real and authentic. #TESOL19",atlanta,0
35,2019-03-15T14:25:49.000Z,I’ve noticed it’s primarily white males who preface comments repeatedly with “To be honest with you...” This always makes me question their honesty. ,atlanta,0
78,2019-03-15T16:18:51.000Z,I miss Lagos like mad,atlanta,0
79,2019-03-15T12:14:38.000Z,I'm speaking at the #Tesol19 conference in Atlanta this morning. Looking forward to reminding these educators of the importance of ensuring that immigrant and English learners are treated w dignity and respect.,atlanta,0
80,2019-03-15T23:39:18.000Z,Can’t nobody say they gave me shit,atlanta,0
81,2019-03-15T21:25:39.000Z,"Oh Man, nothing sets off my social anxiety the way one of my Wife’s work events does. #awkwardnerd",atlanta,0
82,2019-03-15T00:34:36.000Z,remember that era when Gaga wouldn’t do anything except go to starbucks,atlanta,0
83,2019-03-15T20:36:14.000Z,Loudly and proudly identified as a fat woman in front a large group of people for the first time today and goddamn I feel powerful.,atlanta,0
