,Unnamed: 0,date,contents,city,city_in_disaster,target
13,13,2021-02-15T20:18:27.000Z,"Has anyone told 
@NZNationalParty
 and 
@dbseymour
 that barking at every passing car is a bit like the boy who cried wolf? #nzpol",christchurch,0,0
14,14,2021-02-15T21:43:03.000Z,I think i just did something crazy,christchurch,0,0
15,15,2021-02-15T17:07:11.000Z,"Only in New Zealand: First vaccines are here, everyone in #NZ will get one regardless their visa status. #COVID19Vaccine #NewZealand #Thankyou 
@jacindaardern",christchurch,0,0
16,32,2021-02-15T08:18:56.000Z,Confused,christchurch,0,0
17,33,2021-02-16T02:50:15.000Z,For Valentine's day someone has put together a video of dotard and mail order bride kissing each other. Different clips put together ,christchurch,0,0
18,34,2021-02-16T02:41:45.000Z,Love Apple? Ipad is driving me crazy I want one now,christchurch,0,0
19,35,2021-02-16T07:00:17.000Z,"Er, there's a crowd in Chennai...",christchurch,0,0
20,68,2021-02-16T09:47:58.000Z,Pain demands to be felt.,christchurch,0,0
21,69,2021-02-16T06:11:20.000Z,l am FULLY against the sentiment that we don’t owe anybody anything. We owe people common decency. We owe people respect if it has been given to us. We owe people apologies & explanations when we hurt them.,christchurch,0,0
22,70,2021-02-16T06:17:09.000Z,"Oh my gosh Andrew Baylie is locked up in the Waikato, good thing 
 watching CNN now ....",christchurch,0,0
23,71,2021-02-16T07:17:28.000Z,"Congratulations India, great win over England....",christchurch,0,0
24,72,2021-02-15T20:48:16.000Z,"This is terrible from Newcastle, what is this formation from Bruce? Hasn’t got a clue 
 #nufc",christchurch,0,0
25,73,2021-02-16T03:34:07.000Z," message just came through from wife. Our toilet training 2yr old just 
 while jumping on the trampoline. ",christchurch,0,0
26,74,2021-02-16T07:16:20.000Z,"Just watching the 1pm briefing, gutted to hear of a Covid death and thoughts/prayers with the whãnau 
.",christchurch,0,1
27,75,2021-02-16T23:58:39.000Z,"Getting my memorial tattoo for my baby boy today and what start playing over there sound system but Truly madly deeply
@BestiesITW
 @MatFitchett
 @PandaBearVega",christchurch,0,0
28,76,2021-02-16T06:55:45.000Z,"Shout to 
@BREWPubRotorua
 for doing such an excellent job of hosting us last night despite level 2 and still suffering the total lack of international tourist income. Our waitress was super friendly. The place was a bit quiet after the busy weekend, so if you're in Rotorua go ",christchurch,0,0
29,97,2021-02-15T22:42:08.000Z,adult acne can go to hell,christchurch,0,0
30,98,2021-02-15T05:36:28.000Z,"Bacon Brothers burgers with incredible customer service!

Wrong burger delivered but no hesitation in a full refund and re-delivery. 

Definitely my new go to Burger joint.",christchurch,0,0
31,99,2021-02-16T04:49:40.000Z,Just checking that a bucket of a KFC is always appropriate for a pot luck dinner eh?,christchurch,0,0
32,119,2021-02-16T01:40:18.000Z,"Enjoyed first 
@TwitterSpaces
 experience from a product geek POV & feels super useful/relevant to in app experience... the content was a bit 
due to organizer exercising/walking was distracted/noisy. When 
 permits, can see myself jumping into spaces vs doom scrolling",christchurch,0,0
33,120,2021-02-16T06:08:35.000Z,"i know we are only in level 2 down here but fuck man, i haven’t seen literally anyone else wearing a mask in this Countdown lol",christchurch,0,0
34,121,2021-02-16T07:53:01.000Z,i’ve got 25mins left of Alien to go and i stg if they leave the fucking cat behind i’m giving this movie 1 star on letterboxd,christchurch,0,0
35,0,2021-02-16T07:33:10.000Z,Teach me how to fly with the angels like you,nashville,0,0
36,1,2021-02-15T20:54:42.000Z,heavily focused on self care and growth this year,nashville,0,0
37,2,2021-02-16T22:50:50.000Z,what is joe biden’s plan to stop people who thrift solely to resell on depop,nashville,0,0
38,3,2021-02-16T01:07:27.000Z,the mean girl vibes on this season are just not it. truly a disappointment to watch. #TheBachelorABC #thebachelor,nashville,0,0
39,4,2021-02-16T03:05:51.000Z,Rachael’s parents sound and look exactly how I pictured them to look and sound #TheBachelor,nashville,0,0
40,5,2021-02-16T20:14:42.000Z,Why is my refund still in my bannerrrrr ,nashville,0,0
41,6,2021-02-16T20:21:28.000Z,ik y’all don’t like B Simone but she was speaking facts lol.,nashville,0,0
42,7,2021-02-15T21:17:46.000Z,this snow day in TN social media content is way better than the Valentine’s Day content,nashville,0,0
43,8,2021-02-16T06:51:52.000Z,The fact that Tennessee still hasn’t gotten these roads and it’s still snow on em??? BABYYYY…Ohio would NEVAAAA,nashville,0,1
44,9,2021-02-16T20:41:33.000Z,"Fun Fact, Perry Wallace, the first black basketball player in the SEC (Vanderbilt) , coached Kobe Bryant’s Dad. Nice.",nashville,0,0
45,10,2021-02-16T22:03:24.000Z,Walking to Publix in an ice storm because my current snacks are boring me,nashville,0,0
46,11,2021-02-15T03:49:26.000Z,Nashville getting some cronchy snow,nashville,0,1
47,12,2021-02-15T23:20:01.000Z,My price really about to go up,nashville,0,0
48,13,2021-02-16T04:08:28.000Z,If it’s fina be another Ice Age just say that. Texas is one of the hottest states in America. Why tf is it under a Winter Storm warning? ,nashville,0,1
49,14,2021-02-15T02:33:58.000Z,The fact that every food place in Nashville closes at 6 is upsetting.,nashville,0,0
50,15,2021-02-16T20:49:59.000Z,Kehlani if you read this I’m free on Thursday night and would like to hangout. Please respond to this and then hang out with me on Thursday night when I’m free.,nashville,0,0
51,16,2021-02-15T21:27:00.000Z,If you don’t like this weather you got something wrong with you,nashville,0,0
52,17,2021-02-16T19:08:00.000Z,Them talks w god & prayer really does work !!!!,nashville,0,0
53,18,2021-02-16T15:52:14.000Z,"I suggest that everyone in Nashville take their car keys, drop them in a glass of water and place them on your outside porch. When you can retrieve them, you can drive again.",nashville,0,0
54,19,2021-02-16T15:39:39.000Z,"Can’t the #Stars  and #Preds
 skate over and knock out today’s game in the Cotton Bowl?",nashville,0,0
55,70,2021-02-16T19:24:38.000Z,Muscadine Bloodline just followed you!,nashville,0,0
56,71,2021-02-15T00:30:50.000Z,I’m cold.,nashville,0,0
57,72,2021-02-16T18:00:51.000Z,All we have is everyday.,nashville,0,0
58,73,2021-02-16T01:21:35.000Z,"I hate how quarantine has made me use social media more often than I’d like to admit because it just takes away from all the cool things I could be putting my attention towards, rather than aimlessly scrolling and reading all of the stupid shit people post every single day",nashville,0,0
59,74,2021-02-15T18:00:06.000Z,Sometimes I open the freezer and eggos jus ain’t there and that’s life I guess ,nashville,0,0
60,75,2021-02-15T05:59:22.000Z,It’s snowing in the bnb,nashville,0,1
61,76,2021-02-16T16:36:31.000Z,Just braved the ice to make this record. Work harder ,nashville,0,0
62,77,2021-02-16T18:27:02.000Z,Nothing Jon Robinson said about Isaiah Wilson just now indicates that he’s not sick of the situation. This dude isn’t anywhere close to secure in his position #Titans,nashville,0,0
63,78,2021-02-15T19:11:14.000Z,#Titans GM Jon Robinson is holding media availability tomorrow at 12:15.,nashville,0,0
64,79,2021-02-15T23:25:59.000Z,Dropped a new YouTube video. Go gas it.,nashville,0,0
65,80,2021-02-16T04:10:00.000Z,I take the NCLEX on Wednesday and I can’t leave my apartment complex due to the ice and living on a hill. How the hail am I going to get there,nashville,0,1
66,81,2021-02-16T18:21:22.000Z,Robinson on JJ Watt: We’ve had some contact...it’s early in the stages,nashville,0,0
67,102,2021-02-16T00:43:39.000Z,This storm reminds me of the time a new neighbor asked on NextDoor if they needed to move their car off the street for the snow plows. Hahahahahahahaha! #WelcomeYankee,nashville,0,0
68,103,2021-02-15T00:05:07.000Z,fuck.,nashville,0,0
69,104,2021-02-15T18:17:20.000Z,I hope I get so cold on this walk that my nipples stay hard forever,nashville,0,0
70,105,2021-02-15T15:43:31.000Z,Someone in Nashville bring us a zip,nashville,0,0
71,106,2021-02-15T20:45:34.000Z,Seemingly random time for a Jon Robinson presser makes me think something is going to happen between now and tomorrow at noon. What else is there to talk about right now? Vrabel would have been the guy to talk to about the coordinator promotions.,nashville,0,0
72,128,2021-02-15T07:55:08.000Z,That constant “life’s a race” feeling subdued about a month or so ago and I couldn’t be more thankful,nashville,0,0
73,129,2021-02-16T18:43:39.000Z,"Robinson: We had same conversation with pending FAs that we had with Jack Conklin. We will be competitive, but at the end of the day you'll have a decision to make if you have suitors. They’ve done everything we’ve asked of them while they were here",nashville,0,0
74,130,2021-02-16T15:21:57.000Z,"Why would you not watch movies made before 1975? That means you can't watch The Godfather and The Godfather Part II, but you can watch The Godfather Part III.",nashville,0,0
75,179,2021-02-15T19:02:44.000Z,#Titans GM Jon Robinson will have a media availability tomorrow at 12:15,nashville,0,0
76,180,2021-02-16T22:13:53.000Z,God got my father through his spinal surgery today and that’s all that matters .. so I am very grateful to the most high right now .,nashville,0,0
77,181,2021-02-16T20:37:31.000Z,Snow covered Nashville makes me so happy. Feels like home. ,nashville,0,0
78,182,2021-02-16T14:22:45.000Z,"When we got snowed in freshman year , that was the best time ",nashville,0,0
79,183,2021-02-16T21:39:11.000Z,Just rode with somebody who deadass hotboxed 4 cigarettes.....who be raising these niggas,nashville,0,0
80,184,2021-02-16T18:30:42.000Z,Salsa verde over salsa roja.. this is not up for debate,nashville,0,0
81,185,2021-02-16T21:07:07.000Z,Franklin Saint is easily my favorite fictional person of all time,nashville,0,0
82,186,2021-02-16T05:09:56.000Z,i just want my mf refund check ,nashville,0,0
83,187,2021-02-16T19:55:00.000Z,Jon Robinson sure sounded like a guy who was ready to be out of the Isaiah Wilson business in that press conference.,nashville,0,0
84,188,2021-02-15T23:52:48.000Z,Got stuck in the snow twice in an hour. Folk pulled over both times & pushed me out. It’s some good ppl out here. ,nashville,0,1
85,189,2021-02-16T00:39:30.000Z,"If this power go out, I’m gon make sure everybody has a terrible day.",nashville,0,0
86,190,2021-02-16T18:12:36.000Z,Bruh tried to call out of work at Enterprise and they came and picked him up,nashville,0,0
87,191,2021-02-16T05:40:43.000Z,did I really need to consume copious amounts of butter and bacon fat at 11 pm ? No but we’re the biscuits n gravy gonna make themselves? Also no. Sometimes we do what we have to not what we need to,nashville,0,0
88,212,2021-02-15T21:09:14.000Z,"For those not in Nashville, This is not a snow storm it’s an ice storm...  big difference. Im from Northeast Ohio. Things arent safe here.",nashville,0,1
89,213,2021-02-16T18:22:46.000Z,Jon Robinson says he has not spoken to RT Isaiah Wilson since placing him on NFI,nashville,0,0
90,214,2021-02-16T04:56:40.000Z,"Like many people, I had a fall today.

Unlike many people, it was down the stairs that are inside my house. 
(I’m fine. The irony was just too much not to share.)",nashville,0,0
91,234,2021-02-15T04:58:34.000Z,I’ll think about the worst possible outcome immediately,nashville,0,0
92,235,2021-02-16T22:42:58.000Z,Adam Sandler is a perfect example of someone that I love so much but hate their movies with a burning passion,nashville,0,0
93,236,2021-02-16T05:33:30.000Z,Today made me realize winter warnings aren’t just because of the intensity of Mother Nature but also the incompetency of man.,nashville,0,0
94,237,2021-02-16T20:55:45.000Z,Once again pouring myself into historical dramas to forget the era I currently live in,nashville,0,0
95,273,2021-02-16T23:50:49.000Z,It still baffles me that people just have ice scrapers on standby,nashville,0,0
96,274,2021-02-16T01:05:37.000Z,Since it hates my PC I'm just gonna finish Divinity on my own time on Switch. Still baffling that Baulders Gate 3 runs flawlessly by Divinity OS2 poops itself when they're both Larian.,nashville,0,0
97,275,2021-02-16T18:23:51.000Z,thinking about how when i was a kid there was this radio station in detroit (96.3?) that played “all the hits without the rap” and they literally censored sugar ray’s “fly” so that it didn’t have the “rap” part of the song. anyone else remember this?,nashville,0,0
98,276,2021-02-15T02:55:02.000Z,"Haven’t watched the #DAYTONA500  from my own couch since 2005.   I won’t miss the 38 race cup grind but do miss going to 
@DAYTONA
 for #speedweeks. As a kid Daytona always had an energy that I felt and still had it the last time I was there",nashville,0,0
99,277,2021-02-16T20:25:25.000Z,"Happy Birthday, 
@kiwiallday39
! I hope you feel loved and worthy today....because you are both! ",nashville,0,0
100,278,2021-02-15T21:14:08.000Z,"Thanks to my Valentine 
@AftynBehn
 who got me chocolates so I’m not trapped at home in this weather without chocolate",nashville,0,0
101,279,2021-02-16T00:07:45.000Z,Just realized it’s only Monday... pain,nashville,0,0
102,280,2021-02-15T19:54:51.000Z,Sleeping for 11 hours was awesome good morning party people,nashville,0,0
103,281,2021-02-16T18:50:40.000Z,"“why lay in a twin xl when you can come lay in a queen” sir... all you did was push them xl’s together, leave me alone",nashville,0,0
104,302,2021-02-16T20:18:09.000Z,"My new job is in a completely different industry (not the financial industry, like my last job) and I am so SO thankful that I now deal with people that have companies like axe-throwing, horse trail-riding, zip-lining, fly-fishing, etc. They are so much more pleasant.",nashville,0,0
105,303,2021-02-16T17:19:21.000Z,"I’m going to take a couple of days off this week. No, there’s nothing wrong, I just want to take some time to do some writing and pick on my husband. 
See everyone on Thursday!
Loves and kisses!!!!",nashville,0,0
106,304,2021-02-16T17:56:08.000Z,Snow is cool to look at but put me on a damn beach right now with a giant margarita plz. ,nashville,0,0
107,324,2021-02-15T05:12:26.000Z,i stg if i see one more post about loving myself bc i am single i am gonna YELL. i just wanna hold someone’s hand OKAY!!!,nashville,0,0
108,325,2021-02-16T20:51:56.000Z,"So who’s going to be the brave one and call it? 
@MetroSchools
 5th and 9th grade ain’t going back until Monday",nashville,0,0
109,326,2021-02-16T22:41:59.000Z,"So the TN General Assembly is closed until next week, what happened to all those folks who refused to live in fear?",nashville,0,0
110,327,2021-02-16T18:04:54.000Z,"Per the advice of the wise woman 
@annkpowers
, I’m glad I took a shower before Nashville possibly loses power. Y’all do the same.",nashville,0,0
111,347,2021-02-16T16:46:28.000Z,We are stuck at home again but this time it’s because there’s so much snow outside!,nashville,0,1
112,348,2021-02-15T17:39:47.000Z,Stranded in Nashville,nashville,0,1
113,349,2021-02-16T22:56:31.000Z,"King Cake is a lie. 

It's not a cake at all, it's a pastry.",nashville,0,0
114,350,2021-02-15T14:18:00.000Z,"If God would not allow anyone to kill Cain as punishment for the first murder, why would we seek the death penalty for any subsequent murder?",nashville,0,0
115,385,2021-02-16T21:55:16.000Z,I’m still seeing “friends” supporting One Fantastic Week. Are memories really that short?,nashville,0,0
116,386,2021-02-16T10:38:15.000Z,Waking up with anxiety is my jam.,nashville,0,0
117,387,2021-02-16T23:36:14.000Z,"Per White House: President Biden talked to the governors of states impacted by severe winter weather, including TN 
@GovBillLee
.

""Biden reiterated to all the governors that his Administration is prepared to assist and stands ready to respond to requests for Federal assistance.""",nashville,0,1
118,388,2021-02-15T20:47:21.000Z,"Morning sex, layers of comfy clothes, Indica, ramen, and cuddling up to bingewatch Modern Family on Hulu is my ideal way to spend a Snow Day. 

How do y’all like to spend your Snow Days?",nashville,0,0
119,389,2021-02-16T16:58:09.000Z,"All TN House meetings are cancelled for the entire legislative week, Feb. 16-18th, due to the inclement weather. Floor sessions scheduled for Wed and Thurs will be contingent upon the presence of a quorum. #tnleg #TeamJRC",nashville,0,0
120,390,2021-02-16T05:29:38.000Z,Yeahhh. So the roads.  RNG.  Real not good,nashville,0,1
121,391,2021-02-15T18:29:33.000Z,"My favorite thing ever is hearing from an old JW friend that they’re waking up from the cult. It was the loneliest process - leaving everything you know and your entire community. But the other side of the delusion is the REAL world, and it’s worth living in it.",nashville,0,0
122,392,2021-02-15T20:11:51.000Z,"INBOX: ""All 
@kroger
 Stores in the Middle Tennessee/Southern Kentucky area will close at 6pm tonight, Monday, due to the weather. They will not re-open until 8am tomorrow, Tuesday.""",nashville,0,1
123,412,2021-02-15T21:59:04.000Z,"When it snows an inch in Nashville....

Only the strong survive! 

God speed!",nashville,0,1
124,413,2021-02-16T20:23:08.000Z,I would be more into the idea of homeownership if conversation pits were still a thing.,nashville,0,0
125,414,2021-02-15T22:09:45.000Z,There is not one piece of dirty laundry left in this house and omg I am tired!,nashville,0,0
126,433,2021-02-16T03:58:42.000Z,of course the only bar still open is the one across the street from my apartment,nashville,0,0
127,434,2021-02-16T01:44:33.000Z,I feel like tennessee does get kinda cold so I’m not sure why they have no salt or plows or anything prepared whatsoever for inclement weather,nashville,0,1
128,435,2021-02-15T22:29:00.000Z,"I really wish I got more footage last night cuz I really felt like my mom, decorating down playing hostess. It was cute ",nashville,0,0
129,436,2021-02-16T00:24:53.000Z,"Someone AirDrop Me Some Tree.....
Please....",nashville,0,0
130,0,2021-02-15T17:17:31.000Z,"In the south, he wrote the history of the Arab-Israeli conflict with blood letters, lines of sacrifices and generosity, and pages that challenge history.

#Nabih_Berri #راغب_والموقف_سلاح",beirut,0,1
131,1,2021-02-15T19:18:36.000Z,"We will remain committed to the goals of our righteous martyrs more than we care for their lives because they entrusted us with the torch and the life of their nation.

Imam Musa al-Sadr #راغب_والموقف_سلاح",beirut,0,1
132,2,2021-02-15T21:40:26.000Z," The martyr Sheikh Ragheb Harb was one of the first who  jouned Imam Musa Al Sader movement. 

#راغب_والموقف_سلاح",beirut,0,1
133,3,2021-02-16T23:03:16.000Z,"Happy to see the pictures of my colleagues getting vaccinated for #COVID19. Letting everyone know that you took the vaccine is a way of encouraging people around you!  
#keepgoing #postyourpicture #firstshot
#Lebanon",beirut,0,0
134,4,2021-02-15T12:39:19.000Z,I just want to travel the world like this virus has!,beirut,0,0
135,5,2021-02-16T19:34:00.000Z,I'm trynna get engaged by 2022,beirut,0,0
136,6,2021-02-16T21:38:28.000Z,messi deserves better bro,beirut,0,0
137,7,2021-02-15T16:45:32.000Z,My nephew *holding a squished mini pancake in his hand*: “Sawsan badak?”,beirut,0,0
138,8,2021-02-15T17:44:41.000Z,"Looking forward to another #NESA webinar this Wed.Feb.17, on #World_languages. I feel grateful to #acs_beirut where we continue to grow as #life_long_learners!",beirut,0,0
139,9,2021-02-16T17:49:16.000Z,"The difference between school and life!
In #school you are taught a #lesson and then given a test
In life you are given a test that teaches you a lesson",beirut,0,0
140,10,2021-02-15T20:59:36.000Z,"If you ever lose hope in life, remember that Bouna Sarr made it to professional football, and he plays for Bayern Munich.",beirut,0,0
141,11,2021-02-16T15:24:17.000Z,If your dog isn’t your therapist then what’s the point,beirut,0,0
142,12,2021-02-15T19:57:24.000Z,"Today my Twitter feed was full of healthcare workers getting vaccinated, while on Facebook people were justifying why we should not take the vaccine!

Hopefully, we'll see the same on Facebook soon!
#Lebanon #COVIDVaccination",beirut,0,0
143,13,2021-02-16T11:05:08.000Z,"I feel like the vaccine pic is our new sawwerne bala ma ettala3 trend
Get vaccinated everyone and lets enjoy the pictures
#COVID19 #COVID19Vaccination #CovidVaccine #StayHome",beirut,0,0
144,14,2021-02-15T12:16:14.000Z,"I'm sure everyone saw the picture of a Hijabi woman vaccinating a nun. I don't understand why it is a big deal!

Must we think in our sectarian logic when it comes to health too?

#Lebanon
#COVID19
#CoVax",beirut,0,0
145,30,2021-02-16T20:15:16.000Z,"Officially Two Years #Cancerfree 
 There's always hope beyond what you see
 #beyondblessed",beirut,0,0
146,31,2021-02-16T21:44:24.000Z,We must sign him this summer !,beirut,0,0
147,32,2021-02-15T23:58:42.000Z,Everyone’s got an angle ,beirut,0,0
148,33,2021-02-16T22:05:37.000Z,"Can't wait for the international break
Once upon a time, Messi seemed happier at Barca than at Argentina. Now the reverse seems to be true",beirut,0,0
149,52,2021-02-15T18:46:32.000Z,"When we catastrophize, we predict a negative outcome and then we assume the negative outcome will definitely occur and that it will lead to a catastrophe.",beirut,0,0
150,79,2021-02-16T06:36:47.000Z,In less than 24 hrs after their first vaccine shot our dear orthopedic colleagues did finally learn not to remove the foley catheter 5 minutes after they're done operating. In science we trust. ,beirut,0,0
151,80,2021-02-15T17:54:10.000Z,friendly reminders are rarely friendly just as friends with benefits are rarely friends,beirut,0,0
152,81,2021-02-15T18:46:48.000Z,Ever had a “mafi shi zabit” kind of day? Cause same.,beirut,0,0
153,82,2021-02-16T21:42:17.000Z,HATRICKKKKKKKK,beirut,0,0
154,83,2021-02-16T13:13:59.000Z,Having mothers as colleagues in uni is so cute ,beirut,0,0
155,84,2021-02-15T17:18:45.000Z,"Najat Rochdi, U.N. humanitarian coordinator for Lebanon: 
""The collapse  of the medical sector is looming on the horizon...Ladies, gentlemen and dear colleagues, we are witnessing today one of the most concerning periods regarding the humanitarian situation in Lebanon.""#Lebanon",beirut,0,1
156,85,2021-02-15T08:20:32.000Z,"Good morning people.
I think it will be a good day ",beirut,0,0
157,86,2021-02-15T23:20:47.000Z,"Not my 7yo cousin asking ""what does bitch mean?"" ",beirut,0,0
158,87,2021-02-16T13:48:14.000Z,My life is not the same after they closed the hawejez whatsapp groups.,beirut,0,0
159,88,2021-02-15T16:48:15.000Z,Socialism works fine until you run out of someone else's money. Margaret Thatcher,beirut,0,0
160,89,2021-02-16T10:13:07.000Z,"My dad, a surgeon and head of a COVID-19 hospital got his first jab today. Feeling so grateful, the past year has been so stressful 
. #GetVaccinated #Lebanon #اللقاح_اولوية",beirut,0,0
161,109,2021-02-16T10:51:55.000Z,"By a continuing process of inflation, govs can confiscate, secretly and unobserved,an important part of the wealth of their citizens. By this method they not only confiscate,but they confiscate arbitrarily,and, while the process impoverishes many,it actually enriches some.Keynes",beirut,0,0
162,110,2021-02-15T19:05:38.000Z,look all i wanna know is when we can do the whole eternal sunshine of the spotless mind memory erasure thingy. please and thank you.,beirut,0,0
163,111,2021-02-15T08:25:13.000Z,*writes angry tweet*,beirut,0,0
164,112,2021-02-16T09:09:01.000Z,"If you see your friend with your enemy,  know that the two are your enemies, one overtly and the other covertly",beirut,0,0
165,133,2021-02-16T19:47:00.000Z,"#guessthegibberish

Hits no wing",beirut,0,0
166,134,2021-02-15T08:49:39.000Z,Casually waking up today after only 3 hours of sleep made me realize that at around 21 I knew this life wasn’t meant to be a fun one,beirut,0,0
167,135,2021-02-16T08:56:10.000Z,"Today I said  another  goodbye to my old self, today  I treat myself with love before others.  Today I give myself the care I need.  Today I keep abusive people away, today I only talk to those who appreciate my presence.",beirut,0,0
168,136,2021-02-16T21:46:11.000Z,"I believe in first hand experiences. 
You might've read a 100 books  and watched 1000 documentaries about a country and I'd still believe the person who went and lived there more than you.  Do not underestimate those who live the authentic experience.",beirut,0,0
169,157,2021-02-16T20:30:51.000Z,"this lockdown got me acting so different like

I just swiped right to a picture of Al3et Baalbak

dem ruins do be kinda thicc tbh ",beirut,0,0
170,186,2021-02-16T21:27:48.000Z,Mbappe ended Dest career tonight,beirut,0,0
171,187,2021-02-16T11:33:45.000Z,"My grandpa just called to ask me if he has any granddaughters other than me
 he has 5 
But my ego loves that he only remembers me",beirut,0,0
172,188,2021-02-15T20:05:30.000Z,good night,beirut,0,0
173,189,2021-02-16T07:13:04.000Z,"Wslt la ane3a bi hayete eno 7ata law l ma23ad le la teze is a plastic chair.
 i’ll design it myself and make it my own throne.
I control my own life.",beirut,0,0
174,190,2021-02-15T14:04:00.000Z,"I have to confess that the best feeling is realising someone is making an active effort to keep you in your life, or to make your life easier",beirut,0,0
175,191,2021-02-15T00:19:51.000Z,"How to use aloe vera on your skin and hair:

1. Watch diy videos and check how to get aloe vera
2. Get your mom to plant some
3. Water them and watch them grow
4. Never use them",beirut,0,0
176,192,2021-02-16T12:39:31.000Z,"Oh no #Bitcoin
 is too volatile it went from  30k to 50k within two weeks",beirut,0,0
177,193,2021-02-15T08:04:06.000Z,"Lebanon: A population of 6m just received the first 28K Covid-19 vaccine.... Being in a priority category, I am so excited my turn (by projection) will come in early 2023! Waiting for vaccine in Lebanon   is pure fun!",beirut,0,0
178,194,2021-02-15T09:02:33.000Z,"idk why y’all hate co star honestly it’s just funny to me the way they phrase my life to me after mining my data ... like yes: “you really don’t need to think about that burger all the time
 it’s not worth it YOURE the king ! Not him 
”",beirut,0,0
179,212,2021-02-15T20:32:45.000Z,"Werner is so good, you dont know ball if u call him a flop",beirut,0,0
180,213,2021-02-15T20:48:19.000Z,"my sister: LEH HALEAD BATI2 WIFI W ES
me, updating steam w on a video call: eh medre leh bati2 walaw ",beirut,0,0
181,214,2021-02-15T23:18:13.000Z,Omg I'm that girl who replies to a question with another question ,beirut,0,0
182,215,2021-02-15T03:36:03.000Z,"""Strong people stand up for themselves, but stronger people stand up for others...”
#Expectations
#QuoteOfTheDay",beirut,0,0
183,233,2021-02-15T20:57:25.000Z," the instructor sent us an email
 le prof nous a envoyer un email 
 hal dr rah ynikna kel l nhar emailet",beirut,0,0
184,234,2021-02-16T03:18:43.000Z,I think it's literally criminal that khatt foundation publishes books for Arab designers and sells them in euros from the Netherlands,beirut,0,0
185,235,2021-02-16T11:41:44.000Z,I reply faster during online courses,beirut,0,0
186,236,2021-02-16T08:15:39.000Z,"Yeah, I just woke up, and I missed my first class ",beirut,0,0
187,237,2021-02-15T22:58:13.000Z,"Give yourself time to heal..
Good night ",beirut,0,0
188,257,2021-02-16T12:49:03.000Z,"Let the Games begin
#BarçaPSG",beirut,0,0
189,258,2021-02-16T18:52:25.000Z,"It’s true we grew up watching Michel Sannan, but 
@Joe_kareh_LBCI
 is the real deal!!
It feels like he’s the only weather anchor who actually knows what he’s talking about!!",beirut,0,0
190,290,2021-02-15T19:48:29.000Z,Rethinking about when adele released hello,beirut,0,0
191,291,2021-02-16T20:36:04.000Z,"go sub to @yeranjian 's OnlyFans.
link in my bio",beirut,0,0
192,292,2021-02-16T02:38:22.000Z,"“Never esteem anything as of advantage to you that will make you break your word or lose your self-respect...”
#Expectations
#QuoteOfTheDay",beirut,0,0
193,293,2021-02-15T16:27:31.000Z,Thread of my avis because I always lose them when I want to reuse them,beirut,0,0
194,294,2021-02-16T21:45:21.000Z,"Thing is PSG and Mbappe will get a lot of hype just for playing a NAME called ""FCBarcelona"" and not a TEAM called "" FCBarcelona"" #UCL
 #FCBPSG #BarcaPsg",beirut,0,0
195,295,2021-02-16T22:41:55.000Z,Can someone tell T4M4RA that the game is already over?,beirut,0,0
196,296,2021-02-16T18:22:12.000Z,So today I tried acroyoga and I was soo much fun!!!!,beirut,0,0
197,297,2021-02-16T23:14:17.000Z,"Wlk behke online shop to order am kell 10 se3at bi reddo aaleye kelme?!
Please 3amlouna mni7 walaw!",beirut,0,0
