,date,contents,Disaster
254,2021-02-15T21:47:00.000Z,"man i don’t even watch tv, tv watches me",0
255,2021-02-16T04:42:37.000Z,TORNADO WARNING: Western part of Brunswick County is under a tornado warning until 12:15 a.m.,1
273,2021-02-16T20:33:16.000Z,As a Barca fan that's wasn't a damn penalty ,0
274,2021-02-16T17:21:12.000Z,"glad to be back and in the groove of writing orders 
 what are you guys doing today?",0
275,2021-02-16T14:32:03.000Z,"Atiny pasenme el DM 
Help

#ATEEZ PLEASE #StanWorld",0
276,2021-02-16T16:59:38.000Z,Prayers for the ocean ridge community down here. Devastating visuals of what a tornado can do to even the sturdiest of structures.,1
277,2021-02-16T15:22:47.000Z,"We're watching GLEN OR GLENDA (dir. Ed Wood, 1953) in #uncwlgbtfilm this morning. Live-tweeting will begin in just a few minutes.",0
278,2021-02-15T13:58:39.000Z,the more of 2021 i experience the more i realize my life in 2020 rlly was NOT SHIT,0
279,2021-02-16T14:38:59.000Z,I need a bigger bank that requires a different lifestyle,0
280,2021-02-16T14:13:42.000Z,Good morning all. Back in lovely Wilmington on the grind. Let’s goooo.,0
281,2021-02-15T18:49:09.000Z,Spent my lunch break crying in my car because I won’t be getting a phone call from my Mimi tomorrow. I pray this gets easier because it’s killing me right now ,0
282,2021-02-16T20:39:54.000Z,"Snapchat has a filter rn that features a song from 
@MelanieLBBH
 that was released six years ago. Delayed promos or...?",0
283,2021-02-16T17:45:38.000Z,"Just got off the phone with former 
@EAHSFB
 standout and current Pittsburgh Steeler 
@highsmith34
. We had a great conversation about his rookie season and what he's been up to during the offseason. I'll have a story on the site tonight and it will be free to read!",0
284,2021-02-16T16:05:17.000Z,Um... anyone else notice the suggestive log placement there? #uncwlgbtfilm,0
285,2021-02-15T00:20:15.000Z,This episode better be good since they didn’t play it last week #90DayFiance,0
286,2021-02-16T08:34:20.000Z,People are so worried about what's on someone else's plate that they let their food go to waste everyday.,0
