,date,contents,Disaster
37,2020-12-25T14:00:44.000Z,"Merry Christmas 
 to all of you. As rough as 2020 has been, we all need to say a word of thanks to the front-line workers who have truly been angels. The sports fan in me looks forward to getting to watch 
 in person again soon. God bless all of you.",
38,2020-12-25T14:02:42.000Z,Hope everyone who lives in downtown #Nashville is safe on this #Christmas morning. ,1
39,2020-12-25T14:28:30.000Z,Nashville really been going through all year.,1
40,2020-12-25T22:43:34.000Z,"Here I am sitting in an McDonald’s parking lot, using their free WiFi because all AT&T cell & internet is down in my area. Merry Christmas",1
54,2020-12-25T16:22:06.000Z,"Between the spring tornado, Covid, and now this (probable) act of terrorism...

Nashville needs a lot of prayers for 2021. Really praying nobody is seriously hurt. 

Honestly, thankful this happened so early and not when most would be out. 

We are #NashvilleStrong",1
55,2020-12-25T14:20:14.000Z,"Safe here in #Nashville, hoping this was all an accident. Check on your Nashville friends!",1
56,2020-12-25T19:47:16.000Z,"A huge thank you to all the MNPD, FBI and first responders who are downtown today dealing with a very scary situation in frigid weather. Thankful for selfless people who are giving their time on a holiday for our city.",1
57,2020-12-25T19:00:08.000Z,Just want to write..I've been getting a lot of DMs asking if we are ok. I live in the Nashville area. The explosion is about 20 minutes away.  We are fine here. Thank you to all expressing concern.,1
58,2020-12-25T17:44:19.000Z,"my toddler got a fisher price hoop and i promptly dunked on him and then stepped over him as he lie on the carpet, dumbfounded am I doing #Christmas right",
59,2020-12-25T18:33:59.000Z,"If you're having trouble tuning out all the noise and bad stuff happening in the world right now, I highly suggest watching Pixar's new #SoulMovie
. It's a beautiful reminder that sometimes life is about the little things, and we all need to stop and appreciate them more. ",
60,2020-12-25T15:16:11.000Z,"At 6:32 Christmas morning, 
@MNPDNashville
 and 
@NashvilleFD
 responded to the scene of an explosion on 2nd Ave, approximately one block north of Broadway. Metro Police confirm the source of the explosion came from a vehicle.",
61,2020-12-25T14:50:31.000Z,2nd ave is destroyed ,1
62,2020-12-24T13:17:18.000Z,"2020 has been maybe the toughest year we’ve all endured. As we get ready to celebrate Christmas, let’s also look ahead. There is light at the end of the tunnel. Millions will be getting the vaccine soon and hopefully by spring things will look better. That’s what I’m praying for.",
63,2020-12-25T21:11:46.000Z,"Guys it’s been a rough year and honestly a rough Christmas for those of us in Nashville.  How about some positivity on the timeline?

Show off your favorite Christmas gift you got (or gave) this year:",
64,2020-12-25T12:45:23.000Z,Merry Christmas to everybody ,
65,2020-12-24T22:29:25.000Z,"“But the angel said to them, ‘Do not be afraid. I bring you good news that will cause great joy for all the people. Today in the town of David a Savior has been born to you; he is the Messiah, the Lord.’” Luke 2:10-11 ",
66,2020-12-24T16:38:08.000Z,I was just scowled at i know this food finna buss,
67,2020-12-25T18:54:33.000Z,"Merry Christmas everyone! I know with the pandemic this isn't the holiday we're all used to but I hope everyone can find a moment of joy and relaxation, if even just for today.

I'll be back tomorrow and show y'all the new Nioh 2 build I've been hard at work on!",
68,2020-12-25T04:12:09.000Z,next year i’m gone make it to the matching pajamas stage ,
69,2020-12-25T17:55:12.000Z,"I woke up to 7,000 random followers on Instagram today and it’s still going up and it sucks so insanely bad",
70,2020-12-25T07:00:33.000Z,"Just finished listening to WLR, currently lost for words man, crying real tears carti bro, this is quite possibly, quite literally, sincerely, the worst possible music I have ever heard. My ears are dripping with blood, currently on my way to the emergency room on Christmas Day.l",
71,2020-12-25T04:57:43.000Z,"To everyone who aren’t able to be with their loved ones this year, Merry Christmas 
 
For EVERYONE who’s struggling mentally with life right now, know that there’s amazing streamers to lift your spirits! You just need to get on Twitch! Merry Christmas ",
72,2020-12-25T17:17:32.000Z,"Dad and I drove down Broadway, a mile from the site of the #NashvilleExplosion at 7am, about 45 mins after.

I kept wondering, “Why so many emergency vehicles.”
 

We’re safe & sound, 2.5 miles up the road. Thankful there are no reported deaths.

#nashvillestrong #Nashville",1
73,2020-12-25T19:34:01.000Z,Just experienced the AT&T outage y’all were talking about.,1
74,2020-12-25T16:10:05.000Z,"Hey friends, Happy Holidays to everyone. We’re ok. There have only been 3 non-critical injuries from the “explosion,” downtown. We felt it all the way in East and it was pretty scary. We love all of you, stay safe and please keep Nashville in your thoughts.  #Nashvillestrong ￼",1
75,2020-12-25T21:11:04.000Z,"Bless you, Jill, William and Darius at the 
@Fly_Nashville
 @SouthwestAir
 counter, for rerouting us when our flight was delayed today.",
76,2020-12-25T02:45:47.000Z,"Wanna say MERRY CHRISTMAS to ALL my Oregon and 
@trailblazers
 friends! 
@RipCityGeneral
 @KristenKerbaugh
 @ChadinRipCity
 @travisdemers
 @L_Hurd
 @DannyMarang
 @joesimonssays
 @brookeolzendam
 @CBurkhardtNBCS",
77,2020-12-25T21:00:30.000Z,"If you can, and it is safe for you, call your momma.",
78,2020-12-25T18:28:20.000Z,"Merry Christmas 
 

Thankful no one was seriously injured or killed from the downtown Nashville bombing.",
79,2020-12-24T17:19:33.000Z,I miss being in love cuh.,
80,2020-12-25T16:02:17.000Z,"Merry Christmas, everyone. Be sure to keep our city in your prayers today after this morning’s tragic event.",1
81,2020-12-25T17:51:26.000Z,Mannn that damn explosion done fucked wit my wifi IM HOT,1
82,2020-12-25T20:25:04.000Z,Okay. I'm gonna take a nap.,
83,2020-12-25T13:23:47.000Z,Scary sight downtown Nashville. Heard the explosion from south gulch area. ,1
84,2020-12-25T05:50:30.000Z,"Don’t know who needs to hear this tonight, but let me just say...

MERRY...
and I can not stress this enough....
CHRISTMAS!!!!!!!!

MERRY CHRISTMAS, EVERYONE!!!!!",
85,2020-12-25T19:05:01.000Z,"#Titans practice report for Fri:.
—Not spotted: Roberson.
—Returning: AJ Brown, Kelly, J. Smith (Smith appeared to be limited).
—Notable: Kalif Raymond, who’d been on COVID list, returned to practice.",
86,2020-12-25T18:52:49.000Z,"Tried to come up with a clever one. Instead here’s the brutal truth: 2020 bombed my town on Christmas morning. Then it shut down our internet so we couldn’t zoom with family on this day, because social distancing, because 2020. ",1
87,2020-12-25T16:59:10.000Z,hi I am ok thx to anyone who reached out to me this morning I appreciate y’all sm !!!,
88,2020-12-25T23:37:05.000Z,i’m the best landon,
89,2020-12-25T14:18:04.000Z,"Not sure on what may have caused it. But prayers for Nashville today, as a Christmas morning explosion in Downtown Nashville was not what I expected to see in the news today.",1
90,2020-12-25T17:43:40.000Z,"I live in East Nashville, abt 2 miles from where the car bomb went off on 2nd Ave downtown this morning. So I’m good, but thanks to those who have reached out to check in. Thankfully it happened on a quiet morning and there were very few injuries. So wild for that to happen here!",1
112,2020-12-25T22:49:28.000Z,"Thank you to everyone for checking on us. 2020 is a hell of a time to live in Nashville. We are on the other side of town so very safe but definitely experiencing some wifi instability, which makes it a little easier to stomach the folks who didnt get in touch. A little easier.",1
113,2020-12-24T16:15:06.000Z,Happy Christmas Eve!  That’s all.,
114,2020-12-25T20:06:31.000Z,"Thank you to 
@MNPDNashville
 and our first responders for their swift action and on going efforts to help keep our city and people safe. Incredible nobody was badly hurt or killed. 

#Nashville ",
115,2020-12-25T13:15:39.000Z,Merry Christmas Everyone! ,
116,2020-12-25T14:55:32.000Z,"I’m just like Santa.

I’ve been watching all year who’s been following CDC guidelines and taking protocols and wearing their masks and who’s been going out every single night.

And if you were naughty this year you won’t be hearing from me in 2021.",
156,2020-12-25T19:03:14.000Z,"I finally watched the last episode of #TheMandalorian. Everyone may now commence with the spoilers.

It was so good! #Grogu",
157,2020-12-25T02:38:22.000Z,"Merry Christmas Eve to all of #cf97 nation! Love you guys
 Enjoy your safe celebrations but remember to be safe
#cffc",
158,2020-12-25T13:53:21.000Z,Woken up by explosion. Please don't let it be intentional. We have already suffered enough this year.,1
159,2020-12-24T16:01:19.000Z,"If you wear shorts to practice today, you’re honestly just an ass 
@glennonsports
 ",
160,2020-12-25T16:50:50.000Z,We are all ok. We're pretty far from downtown. Keeping those affected in my thoughts today. Every shred of this morning's events are heartbreaking.,1
161,2020-12-25T23:06:56.000Z,"Nashville has had jolt this am thankfully loss of life was low and injuries not life threatening.  Please keep them all in your thoughts.  Att is down so your app is gonna be sporadic.  As a network eng my self, I know everyone at att is working hard to fix things",1
162,2020-12-25T21:04:11.000Z,"just wanna say thanks and Merry Christmas to 
@JoshBreslowWKRN
 for working all day to keep us informed and safe. we here in the Nashville area are very grateful!",
163,2020-12-25T15:04:46.000Z,An RV being used as a car bomb in downtown Nashville is not the news I wanted to wake up to on Christmas morning,1
164,2020-12-25T05:44:29.000Z,"Gonna sip on a little Midleton then call it a night... 
 ",
165,2020-12-25T21:03:51.000Z,"I've been clear that I do not believe 
@JohnCooper4Nash
 is the right person to lead our city -- still do not. However, his ”laugh” over the bombing is not a story.  People cope with stress in different ways.  He obviously feels the pain of the city.  Let's not make this a story.",
166,2020-12-24T00:41:40.000Z,"“If I got buried alive, would you help me get out?” - my wife, 
@MerchByDre
 ",
167,2020-12-25T19:17:09.000Z,"Titans’ Vrabel: Brooks Reed is a tough, physical player. When things come up, guys have to be ready. (Roberson inj.)",
