,date,contents,Disaster
119,2020-08-04T08:57:30.000Z,tell your friends you love them,0
120,2020-08-04T22:59:08.000Z,"I feel my heart is about to explode
 i can’t sleep",0
121,2020-08-04T22:10:23.000Z,"lebanon is surrounded by countries that have attacked & threatened them, tonight they are sleeping in broken homes durring a deadly pandemic, Leb did not deserve that",1
122,2020-08-04T21:17:04.000Z,Tonight we will all sleep in tears.,0
123,2020-08-04T17:18:21.000Z,"I am safe but extremely traumatized, thank you to those who were worried and checked in",1
124,2020-08-04T17:08:31.000Z,"Supporting 
@RedCrossLebanon
 now to respond to the tragic massive explosion in Beirut. Red Cross ambulances on the scene and situation is fluid. 
@IFRC_MENA",0
141,2020-08-04T22:14:44.000Z,"Grief, heavy heart, held back tears & a deep deep sadness & love for #Beirut that’s breaking all our hearts. Tomorrow if I can do anything to support, I will. Today, I just feel defeated.",0
142,2020-08-04T18:34:17.000Z,"Every time we think we have seen it all, another bigger tragedy hits Lebanon. If this is a result of an act of negligence, I hope every “criminal” involved in any way, be it direct or indirect, be prosecuted to the full extent of the law.
#criminals #accountability #lebanon",1
143,2020-08-04T18:22:14.000Z,"Guys offre joie فرح العطاء
Aam tekhod aalam aa Kfifen
Li 3ayez beit aw mahal yeb2a please this is their number
Phone Number: 71832439

RETWEET!",0
144,2020-08-04T22:14:07.000Z,"It’s was my prom night today, but I couldn’t enjoy it at all I was so worried about everything, and when dad came to pick me up I just start crying, I couldn’t stop thinking about what happened today, that’s so sad and now I can’t sleep, stay strong everyone",1
145,2020-08-04T20:51:44.000Z,I don’t think we will ever recover from this,1
146,2020-08-03T18:31:33.000Z,you lost me at “dr” in your instagram handle,0
147,2020-08-04T17:06:20.000Z,"Nitrate is highly flammable; if exposed to any source of flame will explode aggressively producing toxic fumes. Please stay away from the area. The explosion shook us deeply in our hearts. Prayers to our nation. 
#Lebanon
#Beirut 
#لبنان
#بيروت",1
148,2020-08-04T17:23:45.000Z,"Sending everyone love. I hope you're all safe, and you can DM if you need any help ",1
149,2020-08-03T15:53:46.000Z,I’m here for me and you’re here for you,0
150,2020-08-04T21:34:26.000Z,Can we just live in peace?,0
151,2020-08-04T23:34:30.000Z,"I don’t want to see posts “God help #Lebanon” or “candle lit for #Beirut” NO! As much as I am praying for my country, my fury wants to see them hanged!! Be responsible, donate blood and it is time to take back what’s ours!! Enough",1
152,2020-08-04T22:12:31.000Z,"URGENT
A 16 year old is about to lose his life.
He desperately needs blood. 

He’s in CMC.

AB- can donate.

Please contact me ASAP if you can
& please rt!!!!

70 313 105",0
175,2020-08-04T23:26:14.000Z,I really can’t sleep knowing many have lost their life and many others are still missing,1
176,2020-08-04T22:45:26.000Z,"No words can describe the devastation, sorrow and suffering Lebanon is going through after #Beirut #explosion. Lebanon was already struggling politically, economically, and with COVID-19 surging again. #MentalHealth needs are going to be paramount and as important as basic needs!",1
208,2020-08-04T20:00:29.000Z,"Guys, if you have a house in jnoub or bel shmel, then I really recommend that you go there for now. The atmosphere on Beirut is very toxic, and may cause serious problems.",1
209,2020-08-04T17:01:40.000Z,My loved ones and I are safe from the explosion in Beirut. But many people have had their lives change forever. I don’t know how much more this country can take.,1
210,2020-08-04T20:00:39.000Z,"My friends around Beirut, don’t hesitate to dm me if you need ANY thing!
Allah ykoun maakon",1
211,2020-08-04T22:46:00.000Z,Guys any therapist can tell us how to deal with such trauma with kids? My nephews are terrified. What should we expect and how to deal with it.,0
212,2020-08-03T06:51:08.000Z,"Can we go back to the way things were just for a day?
I miss n o r m a l.",0
213,2020-08-04T10:56:21.000Z,Liking my message is not a Response!,0
214,2020-08-04T20:27:50.000Z,Those rich celebrities should donate some of their money instead of praying on inatagram,0
215,2020-08-04T23:37:36.000Z,"Tonight we mourn Beirut
Tonight we mourn our city 
We mourn our families
Friends
Colleagues 

Tears of acid 
Burning capillaries 
Our hearts cannot take it

Smoke of blood 
Burning lungs 
Our chests cannot take it

We could be numb to it all
We could adapt to it all 
But not this",1
216,2020-08-04T22:00:12.000Z,"Your ruler does not care about you. Your ruler cares about his agenda & his money.

Read that again. Let it sink in.",0
234,2020-08-04T18:37:55.000Z,I wont comment on anything except I just came from hospital my daughter was Injured. 7 stitches Tha is God ,1
235,2020-08-04T20:10:38.000Z,"My tweeps. If any of you has no roof over his / her head tonight, we have 2 bedrooms in our house in Dbayeh waiting for you.",1
236,2020-08-04T16:31:32.000Z,PRAY FOR LEBANON ,0
237,2020-08-04T22:20:28.000Z,"We do not need prayers anymore, we need actions!

We’ve prayed for too long, if we do not help ourselves, God will not help us.

#EnoughIsEnough",1
238,2020-08-04T23:32:34.000Z,Are you not able to sleep too?,0
253,2020-08-04T16:25:34.000Z,I really hope all of you are okay and doing good and if u need help may it be materliastic or emotional please my dms are open.,1
254,2020-08-04T20:02:40.000Z,"For anyone affected by today’s explosion, I am ready to support as much as I can to help you recover from the damages faced. Plus I live Matn area and my house is open for those in need for a place to stay.
#YouAreNotAlone 
#انفجار_بيروت",1
255,2020-08-04T22:33:27.000Z,"How does one sleep after what we experienced today? This is all so surreal. Grateful that I’m fine, and my friends & family are all fine. Emotions are mixed between absorbing what happened, and so much anger toward everyone who’s been in power the past 45 years.",1
256,2020-08-04T19:08:23.000Z,"As a Lebanese citizen, I declare being 100% unsafe in Lebanon, and ask any International Force / Community to govern this country.",1
257,2020-08-04T17:00:28.000Z,"Can we at least respect the victims and not share videos or pictures of them.
Also can news stations stop filiming people who are injured, bleeding or in critical condition. This is not the time to ask them questions or what they saw or heard.
Thank you",1
258,2020-08-04T15:37:04.000Z,"So far early reports talk of a fireworks shipment explosion. Not very convincing. There was a small earthquake-like ""shake"" and heavy smoke in the port pier before the (second?) massive explosion. All scenarios are open.

#Beirut #beirut_explosion #lebanon24 #lebanon",1
271,2020-08-04T16:36:34.000Z,"I'm safe, like this if you are too?",0
272,2020-08-04T21:29:14.000Z,Years after 9/11 did we dare to assume the « inside job » status of the operation. I don’t exclude the Beirut port explosion being also an « inside job » by a party that feels threatened about their status in the region.,1
273,2020-08-04T20:49:52.000Z,Hope you never witness such moments. I'm traumatised still trying to remember what happened!,0
274,2020-08-04T23:16:33.000Z,"I have never seen in all my professional life what I saw tonight in all the hospital wards!
Catastrophic is not enough to describe the status!
This is too much for anyone to take!",
275,2020-08-04T18:58:53.000Z,This country feels apocalyptic.,0
289,2020-08-04T17:14:07.000Z,"This is too much.. it’s just too much.. what have we, Lebanese, done to deserve this.. it’s heartbreaking ",1
290,2020-08-04T21:01:04.000Z,"Anyone around dahye/Jamous and has a samsung s71 charger? I left Gemmayze barefoot, was no time left to take my stuff.",0
291,2020-08-04T17:43:01.000Z,"I think it is time for the international community to provide Lebanon with urgent assistance. Political considerations are no longer valid.
@UNSCOL
 @UNJanKubis
 @ukinlebanon
 @AmbaFranceLiban
 @EUinLebanon
 @usembassybeirut",1
292,2020-08-03T07:44:12.000Z,had a 15 minute conversation with the full moon last night while @dulcelavandula watched thinking i was losing my mind.,0
293,2020-08-04T17:52:51.000Z,"#Beirut is a devastated city 
 #بيروت",1
294,2020-08-04T21:45:09.000Z,"Gotta say I'm blessed today!
I left University at 5:40 while my exam ended at 6 ! I heard the sound of the explosion after 30 min  ! Thanking God for today and I'm sorry for the loss of each and everyone of you.
Eza fi hayala chi be2der se3do I'm ready !!",1
295,2020-08-03T20:32:07.000Z,"How can I donate money to the health sector now that #COVID19 is at its ultimate peak? It's time to bring that energy back! Doctors, nurses, cleaners and all health sector workers needs us. Who's starting the campaign?",0
296,2020-08-04T21:41:03.000Z,"they destroyed our homes, our city, our youths :(",1
297,2020-08-04T06:02:21.000Z,"Sabah l kheir
we3yin rey2in 3an gher 3ade",0
298,2020-08-04T17:42:23.000Z,"Please urgently fly injured people to #Amman  and #Larnaca!!  All Emergency Rooms are packed!!! 
@HDiabSupporters
 @Hassan_B_Diab
 @ghassanhajjar
 @GermanosPeter
 @Annahar
 blood units are urgently needed !",1
299,2020-08-04T23:46:13.000Z,"I just can’t sleep in peace while others lost their homes, families or lives.
That’s for me, what about you you mother fuckers politicans ? ",1
300,2020-08-04T19:41:14.000Z,I feel so helpless what can we do,0
301,2020-08-04T22:21:17.000Z,Yaret ma khle2et hon,0
302,2020-08-03T20:53:29.000Z,"Haven’t been much on twitter lately, so who/what is seth rogan?",0
316,2020-08-04T18:54:55.000Z,"Would like to thank the amazing tweeps who reached out in whatever ways possible to check on me. 

Love you guys. ",0
